😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
🈂️;دکمهٔ «هزینهٔ خدمات» به ژاپنی;رایگان|ژاپنی|هزینه خدمات
🈷️;دکمهٔ «مقدار ماهانه» به ژاپنی;ژاپنی|ماه
🈶;دکمهٔ غیرمجانی به ژاپنی;رایگان نیست|ژاپنی|موجود
🈯;دکمۀ «رزروشده» به ژاپنی;اندیشه‌نگاشت|رزرو شده|رزروشده|ژاپنی
🉐;دکمهٔ «قیمت مناسب» به ژاپنی;ژاپنی|قیمت مناسب به ژاپنی|مقرون‌به‌صرفه
🈹;دکمۀ «تخفیف» به ژاپنی;اندیشه‌نگاشت|تخفیف|حراج|حراج به ژاپنی|ژاپنی
🈚;دکمۀ «رایگان» به ژاپنی;اندیشه‌نگاشت|رایگان|ژاپنی
🈲;دکمۀ «ممنوع» به ژاپنی;اندیشه‌نگاشت|ژاپنی|ممنوع|ممنوع به ژاپنی
🉑;دکمۀ «قابل قبول» به ژاپنی;اندیشه‌نگاشت|پذیرش|پذیرفتن|پذیرفتن به ژاپنی|ژاپنی|قبول
🈸;دکمۀ «تقاضانامه» به ژاپنی;«تقاضانامه»|اندیشه‌نگاشت|پرسیدن|درخواست|درخواست به ژاپنی|دکمهٔ «تقاضانامه» به ژاپنی|ژاپنی
🈴;دکمۀ «نمرهٔ قبولی» به ژاپنی;«نمرهٔ قبولی»|اندیشه‌نگاشت|ژاپنی
🈳;دکمۀ «پست خالی» به ژاپنی;اندیشه‌نگاشت|پست خالی|خالی|در دسترس|دردسترس|ژاپنی
㊗️;دکمهٔ «تبریک» به ژاپنی;تبریک|تبریک به ژاپنی|ژاپنی|شادباش
㊙️;دکمهٔ «راز» به ژاپنی;راز|راز به ژاپنی|ژاپنی
🈺;دکمۀ «آماده برای کسب‌وکار» به ژاپنی;«آماده برای کسب‌و‌کار»|اقدام|اندیشه‌نگاشت|ژاپنی|کار به ژاپنی
🈵;دکمهٔ «پُر» به ژاپنی;پر|ژاپنی|غیرقابل دسترسی|موجود نیست|ناموجود
🔴;دایره قرمز;دایره|شکل هندسی|قرمز
🟠;دایره نارنجی;پرهون|دایره|نارنجی
🟡;دایره زرد;پرهون|دایره|زرد
🟢;دایره سبز;پرهون|دایره|سبز
🔵;دایره آبی;آبی|دایره|شکل هندسی
🟣;دایره بنفش;بنفش|پرهون|دایره
🟤;دایره قهوه‌ای;پرهون|دایره|قهوه‌ای
⚫;دایره مشکی;دایره|شکل هندسی
⚪;دایره سفید;دایره|شکل هندسی
🟥;مربع سرخ;چهارگوش|سرخ|قرمز|مربع
🟧;مربع نارنجی;چهارگوش|مربع|نارنجی
🟨;مربع زرد;چهارگوش|زرد|مربع
🟩;مربع سبز;چهارگوش|سبز|مربع
🟦;مربع آبی;آبی|چهارگوش|مربع
🟪;مربع بنفش;بنفش|چهارگوش|مربع
🟫;مربع قهوه‌ای;چهارگوش|قهوه‌ای|مربع
⬛;مربع مشکی بزرگ;شکل هندسی|مربع
⬜;مربع سفید بزرگ;شکل هندسی|مربع
◼️;مربع مشکی متوسط;شکل هندسی|مربع
◻️;مربع سفید متوسط;شکل هندسی|مربع
◾;مربع مشکی نسبتاً کوچک;شکل هندسی|مربع|مربع مشکی
◽;مربع سفید نسبتاً کوچک;شکل هندسی|مربع|مربع سفید
▪️;مربع مشکی کوچک;شکل هندسی|مربع
▫️;مربع سفید کوچک;شکل هندسی|مربع
🔶;لوزی نارنجی بزرگ;شکل هندسی|لوزی|نارنجی
🔷;لوزی آبی بزرگ;آبی|شکل هندسی|لوزی
🔸;لوزی نارنجی کوچک;شکل هندسی|لوزی|نارنجی
🔹;لوزی آبی کوچک;آبی|شکل هندسی|لوزی
🔺;مثلث با رأس بالا;بالا|شکل هندسی|قرمز|مثلث
🔻;مثلث با رأس پایین;پایین|شکل هندسی|قرمز|مثلث
💠;لوزی نقطه‌دار;درون|شکل هندسی|کمیک|لوزی|مصور|نقطه
🔘;دکمهٔ رادیویی;دکمه|رادیو|شکل هندسی
🔳;دکمۀ مربع سفید;توپُر|دکمه|دکمه مربع سفید|شکل هندسی|مربع
🔲;دکمۀ مربع مشکی;دکمه|شکل هندسی|مربع
🏁;پرچم شطرنجی;شطرنجی|مسابقه|ورزش
🚩;پرچم مثلثی;پرچم|سه‌گوش|لچکی
🎌;پرچم‌های ضرب‌دری;جشن|ژاپنی|صلیب|متقاطع
🏴;پرچم سیاه;اهتزاز|پرچم|پرچم مشکی در اهتزاز|دراهتزاز|سیاه|مشکی
🏳️;پرچم سفید;اهتزاز|پرچم|پرچم در اهتزاز|پرچم سفید در اهتزاز|دراهتزاز|سفید
🏳️‍🌈;پرچم رنگین‌کمان;پرچم دگرباشان
🏳️‍⚧️;پرچم تراجنسیتی;آبی روشن|پرچم|تراجنسیتی|سفید|صورتی
🏴‍☠️;پرچم دزدان دریایی;جولی راجر|چپاول|دزدان دریایی|غارت|گنج
🇦🇨;پرچم: جزایر آسنسیون;پرچم
🇦🇩;پرچم: آندورا;پرچم
🇦🇪;پرچم: امارات متحدهٔ عربی;پرچم
🇦🇫;پرچم: افغانستان;پرچم
🇦🇬;پرچم: آنتیگوا و باربودا;پرچم
🇦🇮;پرچم: آنگویلا;پرچم
🇦🇱;پرچم: آلبانی;پرچم
🇦🇲;پرچم: ارمنستان;پرچم
🇦🇴;پرچم: آنگولا;پرچم
🇦🇶;پرچم: جنوبگان;پرچم
🇦🇷;پرچم: آرژانتین;پرچم
🇦🇸;پرچم: ساموآی امریکا;پرچم
🇦🇹;پرچم: اتریش;پرچم
🇦🇺;پرچم: استرالیا;پرچم
🇦🇼;پرچم: آروبا;پرچم
🇦🇽;پرچم: جزایر آلاند;پرچم
🇦🇿;پرچم: جمهوری آذربایجان;پرچم
🇧🇦;پرچم: بوسنی و هرزگوین;پرچم
🇧🇧;پرچم: باربادوس;پرچم
🇧🇩;پرچم: بنگلادش;پرچم
🇧🇪;پرچم: بلژیک;پرچم
🇧🇫;پرچم: بورکینافاسو;پرچم
🇧🇬;پرچم: بلغارستان;پرچم
🇧🇭;پرچم: بحرین;پرچم
🇧🇮;پرچم: بوروندی;پرچم
🇧🇯;پرچم: بنین;پرچم
🇧🇱;پرچم: سن بارتلمی;پرچم
🇧🇲;پرچم: برمودا;پرچم
🇧🇳;پرچم: برونئی;پرچم
🇧🇴;پرچم: بولیوی;پرچم
🇧🇶;پرچم: جزایر کارائیب هلند;پرچم
🇧🇷;پرچم: برزیل;پرچم
🇧🇸;پرچم: باهاما;پرچم
🇧🇹;پرچم: بوتان;پرچم
🇧🇻;پرچم: جزیرهٔ بووه;پرچم
🇧🇼;پرچم: بوتسوانا;پرچم
🇧🇾;پرچم: بلاروس;پرچم
🇧🇿;پرچم: بلیز;پرچم
🇨🇦;پرچم: کانادا;پرچم
🇨🇨;پرچم: جزایر کوکوس;پرچم
🇨🇩;پرچم: کنگو - کینشاسا;پرچم
🇨🇫;پرچم: جمهوری افریقای مرکزی;پرچم
🇨🇬;پرچم: کنگو - برازویل;پرچم
🇨🇭;پرچم: سوئیس;پرچم
🇨🇮;پرچم: ساحل عاج;پرچم
🇨🇰;پرچم: جزایر کوک;پرچم
🇨🇱;پرچم: شیلی;پرچم
🇨🇲;پرچم: کامرون;پرچم
🇨🇳;پرچم: چین;پرچم
🇨🇴;پرچم: کلمبیا;پرچم
🇨🇵;پرچم: جزایر کلیپرتون;پرچم
🇨🇶;پرچم: سارک;پرچم
🇨🇷;پرچم: کاستاریکا;پرچم
🇨🇺;پرچم: کوبا;پرچم
🇨🇻;پرچم: کیپ‌ورد;پرچم
🇨🇼;پرچم: کوراسائو;پرچم
🇨🇽;پرچم: جزیرهٔ کریسمس;پرچم
🇨🇾;پرچم: قبرس;پرچم
🇨🇿;پرچم: چک;پرچم
🇩🇪;پرچم: آلمان;پرچم
🇩🇬;پرچم: دیه‌گو گارسیا;پرچم
🇩🇯;پرچم: جیبوتی;پرچم
🇩🇰;پرچم: دانمارک;پرچم
🇩🇲;پرچم: دومینیکا;پرچم
🇩🇴;پرچم: جمهوری دومینیکن;پرچم
🇩🇿;پرچم: الجزایر;پرچم
🇪🇦;پرچم: سبته و ملیله;پرچم
🇪🇨;پرچم: اکوادور;پرچم
🇪🇪;پرچم: استونی;پرچم
🇪🇬;پرچم: مصر;پرچم
🇪🇭;پرچم: صحرای غربی;پرچم
🇪🇷;پرچم: اریتره;پرچم
🇪🇸;پرچم: اسپانیا;پرچم
🇪🇹;پرچم: اتیوپی;پرچم
🇪🇺;پرچم: اتحادیهٔ اروپا;پرچم
🇫🇮;پرچم: فنلاند;پرچم
🇫🇯;پرچم: فیجی;پرچم
🇫🇰;پرچم: جزایر فالکلند;پرچم
🇫🇲;پرچم: میکرونزی;پرچم
🇫🇴;پرچم: جزایر فارو;پرچم
🇫🇷;پرچم: فرانسه;پرچم
🇬🇦;پرچم: گابن;پرچم
🇬🇧;پرچم: بریتانیا;پرچم
🇬🇩;پرچم: گرنادا;پرچم
🇬🇪;پرچم: گرجستان;پرچم
🇬🇫;پرچم: گویان فرانسه;پرچم
🇬🇬;پرچم: گرنزی;پرچم
🇬🇭;پرچم: غنا;پرچم
🇬🇮;پرچم: جبل‌الطارق;پرچم
🇬🇱;پرچم: گرینلند;پرچم
🇬🇲;پرچم: گامبیا;پرچم
🇬🇳;پرچم: گینه;پرچم
🇬🇵;پرچم: گوادلوپ;پرچم
🇬🇶;پرچم: گینهٔ استوایی;پرچم
🇬🇷;پرچم: یونان;پرچم
🇬🇸;پرچم: جورجیای جنوبی و جزایر ساندویچ جنوبی;پرچم
🇬🇹;پرچم: گواتمالا;پرچم
🇬🇺;پرچم: گوام;پرچم
🇬🇼;پرچم: گینهٔ بیسائو;پرچم
🇬🇾;پرچم: گویان;پرچم
🇭🇰;پرچم: هنگ‌کنگ، منطقهٔ ویژهٔ اداری چین;پرچم
🇭🇲;پرچم: هرد و جزایر مک‌دونالد;پرچم
🇭🇳;پرچم: هندوراس;پرچم
🇭🇷;پرچم: کرواسی;پرچم
🇭🇹;پرچم: هائیتی;پرچم
🇭🇺;پرچم: مجارستان;پرچم
🇮🇨;پرچم: جزایر قناری;پرچم
🇮🇩;پرچم: اندونزی;پرچم
🇮🇪;پرچم: ایرلند;پرچم
🇮🇱;پرچم: اسرائیل;پرچم
🇮🇲;پرچم: جزیرهٔ من;پرچم
🇮🇳;پرچم: هند;پرچم
🇮🇴;پرچم: قلمرو بریتانیا در اقیانوس هند;پرچم
🇮🇶;پرچم: عراق;پرچم
🇮🇷;پرچم: ایران;پرچم
🇮🇸;پرچم: ایسلند;پرچم
🇮🇹;پرچم: ایتالیا;پرچم
🇯🇪;پرچم: جرزی;پرچم
🇯🇲;پرچم: جامائیکا;پرچم
🇯🇴;پرچم: اردن;پرچم
🇯🇵;پرچم: ژاپن;پرچم
🇰🇪;پرچم: کنیا;پرچم
🇰🇬;پرچم: قرقیزستان;پرچم
🇰🇭;پرچم: کامبوج;پرچم
🇰🇮;پرچم: کیریباتی;پرچم
🇰🇲;پرچم: کومور;پرچم
🇰🇳;پرچم: سنت کیتس و نویس;پرچم
🇰🇵;پرچم: کرهٔ شمالی;پرچم
🇰🇷;پرچم: کرهٔ جنوبی;پرچم
🇰🇼;پرچم: کویت;پرچم
🇰🇾;پرچم: جزایر کِیمن;پرچم
🇰🇿;پرچم: قزاقستان;پرچم
🇱🇦;پرچم: لائوس;پرچم
🇱🇧;پرچم: لبنان;پرچم
🇱🇨;پرچم: سنت لوسیا;پرچم
🇱🇮;پرچم: لیختن‌اشتاین;پرچم
🇱🇰;پرچم: سری‌لانکا;پرچم
🇱🇷;پرچم: لیبریا;پرچم
🇱🇸;پرچم: لسوتو;پرچم
🇱🇹;پرچم: لیتوانی;پرچم
🇱🇺;پرچم: لوکزامبورگ;پرچم
🇱🇻;پرچم: لتونی;پرچم
🇱🇾;پرچم: لیبی;پرچم
🇲🇦;پرچم: مراکش;پرچم
🇲🇨;پرچم: موناکو;پرچم
🇲🇩;پرچم: مولداوی;پرچم
🇲🇪;پرچم: مونته‌نگرو;پرچم
🇲🇫;پرچم: سنت مارتین;پرچم
🇲🇬;پرچم: ماداگاسکار;پرچم
🇲🇭;پرچم: جزایر مارشال;پرچم
🇲🇰;پرچم: مقدونیهٔ شمالی;پرچم
🇲🇱;پرچم: مالی;پرچم
🇲🇲;پرچم: میانمار (برمه);پرچم
🇲🇳;پرچم: مغولستان;پرچم
🇲🇴;پرچم: ماکائو، منطقهٔ ویژهٔ اداری چین;پرچم
🇲🇵;پرچم: جزایر ماریانای شمالی;پرچم
🇲🇶;پرچم: مارتینیک;پرچم
🇲🇷;پرچم: موریتانی;پرچم
🇲🇸;پرچم: مونت‌سرات;پرچم
🇲🇹;پرچم: مالت;پرچم
🇲🇺;پرچم: موریس;پرچم
🇲🇻;پرچم: مالدیو;پرچم
🇲🇼;پرچم: مالاوی;پرچم
🇲🇽;پرچم: مکزیک;پرچم
🇲🇾;پرچم: مالزی;پرچم
🇲🇿;پرچم: موزامبیک;پرچم
🇳🇦;پرچم: نامیبیا;پرچم
🇳🇨;پرچم: کالدونیای جدید;پرچم
🇳🇪;پرچم: نیجر;پرچم
🇳🇫;پرچم: جزیرهٔ نورفولک;پرچم
🇳🇬;پرچم: نیجریه;پرچم
🇳🇮;پرچم: نیکاراگوئه;پرچم
🇳🇱;پرچم: هلند;پرچم
🇳🇴;پرچم: نروژ;پرچم
🇳🇵;پرچم: نپال;پرچم
🇳🇷;پرچم: نائورو;پرچم
🇳🇺;پرچم: نیوئه;پرچم
🇳🇿;پرچم: نیوزیلند;پرچم
🇴🇲;پرچم: عمان;پرچم
🇵🇦;پرچم: پاناما;پرچم
🇵🇪;پرچم: پرو;پرچم
🇵🇫;پرچم: پلی‌نزی فرانسه;پرچم
🇵🇬;پرچم: پاپوا گینهٔ نو;پرچم
🇵🇭;پرچم: فیلیپین;پرچم
🇵🇰;پرچم: پاکستان;پرچم
🇵🇱;پرچم: لهستان;پرچم
🇵🇲;پرچم: سن پیر و میکلن;پرچم
🇵🇳;پرچم: جزایر پیت‌کرن;پرچم
🇵🇷;پرچم: پورتوریکو;پرچم
🇵🇸;پرچم: سرزمین‌های فلسطینی;پرچم
🇵🇹;پرچم: پرتغال;پرچم
🇵🇼;پرچم: پالائو;پرچم
🇵🇾;پرچم: پاراگوئه;پرچم
🇶🇦;پرچم: قطر;پرچم
🇷🇪;پرچم: رئونیون;پرچم
🇷🇴;پرچم: رومانی;پرچم
🇷🇸;پرچم: صربستان;پرچم
🇷🇺;پرچم: روسیه;پرچم
🇷🇼;پرچم: رواندا;پرچم
🇸🇦;پرچم: عربستان سعودی;پرچم
🇸🇧;پرچم: جزایر سلیمان;پرچم
🇸🇨;پرچم: سیشل;پرچم
🇸🇩;پرچم: سودان;پرچم
🇸🇪;پرچم: سوئد;پرچم
🇸🇬;پرچم: سنگاپور;پرچم
🇸🇭;پرچم: سنت هلن;پرچم
🇸🇮;پرچم: اسلوونی;پرچم
🇸🇯;پرچم: سوالبارد و یان ماین;پرچم
🇸🇰;پرچم: اسلواکی;پرچم
🇸🇱;پرچم: سیرالئون;پرچم
🇸🇲;پرچم: سان‌مارینو;پرچم
🇸🇳;پرچم: سنگال;پرچم
🇸🇴;پرچم: سومالی;پرچم
🇸🇷;پرچم: سورینام;پرچم
🇸🇸;پرچم: سودان جنوبی;پرچم
🇸🇹;پرچم: سائوتومه و پرینسیپ;پرچم
🇸🇻;پرچم: السالوادور;پرچم
🇸🇽;پرچم: سنت مارتن;پرچم
🇸🇾;پرچم: سوریه;پرچم
🇸🇿;پرچم: اسواتینی;پرچم
🇹🇦;پرچم: تریستان دا کونا;پرچم
🇹🇨;پرچم: جزایر تورکس و کایکوس;پرچم
🇹🇩;پرچم: چاد;پرچم
🇹🇫;پرچم: سرزمین‌های جنوبی فرانسه;پرچم
🇹🇬;پرچم: توگو;پرچم
🇹🇭;پرچم: تایلند;پرچم
🇹🇯;پرچم: تاجیکستان;پرچم
🇹🇰;پرچم: توکلائو;پرچم
🇹🇱;پرچم: تیمور-لسته;پرچم
🇹🇲;پرچم: ترکمنستان;پرچم
🇹🇳;پرچم: تونس;پرچم
🇹🇴;پرچم: تونگا;پرچم
🇹🇷;پرچم: ترکیه;پرچم
🇹🇹;پرچم: ترینیداد و توباگو;پرچم
🇹🇻;پرچم: تووالو;پرچم
🇹🇼;پرچم: تایوان;پرچم
🇹🇿;پرچم: تانزانیا;پرچم
🇺🇦;پرچم: اوکراین;پرچم
🇺🇬;پرچم: اوگاندا;پرچم
🇺🇲;پرچم: جزایر دورافتادهٔ ایالات متحده;پرچم
🇺🇳;پرچم: سازمان ملل متحد;پرچم
🇺🇸;پرچم: ایالات متحده;پرچم
🇺🇾;پرچم: اروگوئه;پرچم
🇺🇿;پرچم: ازبکستان;پرچم
🇻🇦;پرچم: واتیکان;پرچم
🇻🇨;پرچم: سنت وینسنت و گرنادین;پرچم
🇻🇪;پرچم: ونزوئلا;پرچم
🇻🇬;پرچم: جزایر ویرجین بریتانیا;پرچم
🇻🇮;پرچم: جزایر ویرجین ایالات متحده;پرچم
🇻🇳;پرچم: ویتنام;پرچم
🇻🇺;پرچم: وانواتو;پرچم
🇼🇫;پرچم: والیس و فوتونا;پرچم
🇼🇸;پرچم: ساموآ;پرچم
🇽🇰;پرچم: کوزوو;پرچم
🇾🇪;پرچم: یمن;پرچم
🇾🇹;پرچم: مایوت;پرچم
🇿🇦;پرچم: افریقای جنوبی;پرچم
🇿🇲;پرچم: زامبیا;پرچم
🇿🇼;پرچم: زیمبابوه;پرچم
🏴󠁧󠁢󠁥󠁮󠁧󠁿;پرچم: انگلستان;پرچم
🏴󠁧󠁢󠁳󠁣󠁴󠁿;پرچم: اسکاتلند;پرچم
🏴󠁧󠁢󠁷󠁬󠁳󠁿;پرچم: ویلز;پرچم
