😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
🏋️;ভারোত্তোলক;উত্তোলক ব্যক্তি|উত্তোলনকারী|ওজন|ওয়ার্কআউট|ডেডলিফট|পাওয়াররলিফটিং|বডিবিল্ডার|বারবেল|ব্যক্তি ওজন তুলছেন|ব্যায়াম|ভার|ভারোত্তোলনকারী
🏋️‍♂️;ছেলেদের ওয়েইটলিফটিং;ওয়েটলিফ্টার|ছেলে|পুরুষ
🏋️‍♀️;মেয়েদের ওয়েইটলিফটিং;ওয়েটলিফ্টার|কার্যকলাপ|ব্যায়াম|ভার উত্তোলক|মহিলা|মেয়ে|স্ত্রি|স্ত্রী
🚴;বাইসাইকেল আরোহী;ক্রীড়াবিদ|খেলাধুলা|বাইক|বাইসাইকেল|সাইকেল|সাইকেল আরোহী|সাইকেল চালক|স্পোর্টস
🚴‍♂️;ছেলেদের সাাইকেল চালানো;ছেলে|পুরুষ|বাইসাইকেল|সাইকেল
🚴‍♀️;মেয়েদের সাাইকেল চালানো;কার্যকলাপ|খেলাধুলা|বাইক|বাইসাইকেল|মহিলা|সাইকেল|স্ত্রি
🚵;পর্বতে সাইকেল আরোহী;খেলাধুলা|পর্বত|পাহাড়|বাইক|বাইসাইকেল|ব্যক্তি পর্বতে সাইকেল চালাচ্ছে|সাইকেল|সাইকেল আরোহী|সাইকেল চালক|সাইক্লিস্ট|স্পোর্টস
🚵‍♂️;ছেলেদের পাহাড়ে সাইকেল চালানো;পাহাড়|পুরুষ|বাইসাইকেেল|সাইকেল
🚵‍♀️;মেয়েদের পাহাড়ে সাইকেল চালানো;খেলাধুলা|পাহাড়|বাইসাইকেেল|মহিলা|সাইকেল
🤸;কার্টহুইল;আনন্দিত|উদ্দীপ্ত|উল্টানো|খেলা|জিমন্যাস্ট|ডিগবাজি|ব্যক্তি|শরীর চর্চা
🤸‍♂️;একজন ছেলে কার্টহুইল করছে;আনন্দিত|কার্টহুইল|খেলাধুলা|চটপটে|জিমন্যাস্টিক|ডিগবাজী|পুরুষ|ব্যক্তি|ব্যায়াম|শরীরচর্চা
🤸‍♀️;একজন মেয়ে কার্টহুইল করছে;আনন্দিত|কার্টহুইল|ক্ষিপ্র|খেলাধুলা|চটপটে|জিমন্যাস্টিক|ডিগবাজী|ব্যক্তি|ব্যায়াম|মহিলা|শরীরচর্চা
🤼;কুস্তিগীর;কুস্তি|কুস্তি টুর্নামেন্ট|কুস্তি প্রতিযোগিতা|খেলা|বিরোধ|ব্যক্তি|রেসলিং|স্পোর্টস
🤼‍♂️;পুরুষ কুস্তিগীর;কুস্তি|কুস্তি প্রতিযোগিতা|খেলাধুলা|টুর্নামেন্ট|দ্বন্দ্ব|পুরুষ|প্রতিপক্ষ|ব্যক্তি|রেসলিং
🤼‍♀️;মহিলা কুস্তিগীর;কুস্তি|কুস্তি প্রতিযোগিতা|খেলাধুলা|নারী|প্রতিদ্বন্দ্বী|ব্যক্তি|মহিলা|যুদ্ধ|রেসলিং|রেসলিং টুর্নামেন্ট|লড়াই
🤽;ওয়াটার পোলো;ওয়াটার|খেলা|খেলাধুলা|জল|জল ক্রীড়া|পানির খেলাধুলা|পোলো|ব্যক্তি|সাঁতার কাটা|স্পোর্টস
🤽‍♂️;ওয়াটার পোলো খেলছে এমন পুরুষ;ওয়াটার পোলো|খেলাধুলা|ছেলে|জল|জল ক্রীড়া|পানি|পুরুষ|পোলো|ব্যক্তি
🤽‍♀️;ওয়াটার পোলো খেলছে এমন মহিলা;ওয়াটার পোলো|খেলা|জল|জল ক্রীড়া|পানি|পোলো|মহিলা|সাঁতার কাটা|স্পোর্টস
🤾;হ্যান্ডবল;ক্রীড়া|খেলা|চঞ্চল|ছুড়ে মারা|দুরন্ত|বল|ব্যক্তি
🤾‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ;খেলাধুলা|পুরুষ|ব্যক্তি|মানুষ|হ্যান্ডবল
🤾‍♀️;হ্যান্ডবল খেলছে এমন মহিলা;অ্যাথলেটিক্স|উপরে নিক্ষেপ করা|ক্রীড়াবিদ|খেলাধুলা|ছুড়ে মারা|ব্যক্তি|মহিলা|স্পোর্টস|হ্যান্ডবল
🤹;জাগলিং;এক সাথে অনেকগুলো কাজ করা|ছলনা|দক্ষতা|নিয়ন্ত্রণ|প্রতারণা|ব্যালেন্স|ভেলকি|মাল্টিটাস্ক
🤹‍♂️;পুরুষ জাগলিং করছে;এক সাথা অনেকগুলো কাজ করা|একসাথে একাধিক কাজ করা|ক্রীড়া|খেলাধুলা|জাগলিং|নিয়ন্ত্রণ|পরিচালনা|পুরুয|বশে আনা|বালক|ভারসাম্য
🤹‍♀️;মহিলা জাগলিং করছে;এক সাথা অনেকগুলো কাজ করা|খেলাধুলা|জাগলিং|মহিলা
🧘;পদ্মাসনে বসা ব্যক্তি;আধ্যাত্মিক|ইয়োগা|ধ্যান|পদ্মাসন|বাবু হয়ে বসা|যোগা
🧘‍♂️;পদ্মাসনে বসা পুরুষ;ধ্যান|যোগা
🧘‍♀️;পদ্মাসনে বসা মহিলা;ধ্যান|যোগা
🛀;ব্যক্তি স্নান করছে;গোছল|বাথটব|স্নান
🛌;ব্যক্তি বিছানায় আছেন;এবার ঘুমাব|কম্বল|খাট|ঘুম|ঘুমাচ্ছে|চাদর|বিছানায় শুয়ে|লেপ|শোওয়া|হোটেল
🧑‍🤝‍🧑;হাত ধরে থাকা লোকেরা;জোড়া|ধরে থাকা|মানুষ|যুগল|হাত|হাত ধরে থাকা
👭;দুজন মহিলা হাত ধরে দাড়িয়ে আছে;জোড়|ধরে রাখা|নারী|প্রিয় বন্ধু|বন্ধু|বেস্টফ্রেন্ড|বোন|যুগল|হাত
👫;মহিলা ও পুরুষ হাত ধরে দাড়িয়ে আছে;কপত-কপতি|জোড়|ধরে রাখা|নারী|পুরুষ|প্রেমিক প্রেমিকা হাত ধরে|প্রেমে হাবুডুব|যুগল|হাত
👬;দুজন পুরুষ হার ধরে দাড়িয়ে আছে;জোড়|দুজন পুরুষ|পুরুষ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
💏;চুম্বন;কপল|কিস|চুমু|জোড়|যুগল|রোমান্স
👩‍❤️‍💋‍👨;চুম্বন: মহিলা, পুরুষ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|যুগল|রোমান্স
👨‍❤️‍💋‍👨;চুম্বন: পুরুষ, পুরুষ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|যুগল|রোমান্স
👩‍❤️‍💋‍👩;চুম্বন: মহিলা, মহিলা;কপল|কিস|চুমু|চুম্বন|জোড়|মহিলা|যুগল|রোমান্স
💑;হার্ট সহ দম্পতি;কিস|জোড়|ভালবাসা|যুগল|রোমান্স|হার্ট
👩‍❤️‍👨;হার্ট সহ দম্পতি: মহিলা, পুরুষ;কিস|জোড়|পুরুষ|ভালবাসা|মহিলা|যুগল|রোমান্স|হার্ট|হার্ট সহ দম্পতি
👨‍❤️‍👨;হার্ট সহ দম্পতি: পুরুষ, পুরুষ;কিস|জোড়|পুরুষ|ভালবাসা|যুগল|রোমান্স|হার্ট|হার্ট সহ দম্পতি
