😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
🤽‍♀️;واٹر پولو کھیلتی ہوئی عورت;پانی|پولو|تیراکی|عورت|کھیل|واٹر اسپورٹس
🤾;ہینڈ بال;بال|بال پھینکنا|بندہ|کھیل|کھیل کود
🤾‍♂️;ہینڈ بال کھیلتا ہوا مرد;کھیل|مرد|میدان|ہینڈ بال
🤾‍♀️;ہینڈ بال کھیلتی ہوئی عورت;بال پھینکنا|عورت|کھلاڑی|کھیل|کھیل کود|میدان|ہینڈ بال
🤹;شعبدہ بازی;بازی گر|بازی گری|توازن|کرتب|مداری|مہارت
🤹‍♂️;شعبدہ باز مرد;بازی گر|شعبدہ بازی|کرتب|کھیل|مداری|مرد
🤹‍♀️;شعبدہ باز عورت;شعبدہ بازی|عورت|کھیل|مداری
🧘;پالتی مار کر بیٹھا شخص;پالتی مار کر بیٹھی عورت|چار زانو بیٹھنا|شانتی|گیان دھیان|مراقبہ|مطمئین|میڈیٹیشن|یوگا|یوگا کرنا
🧘‍♂️;پالتی مار کر بیٹھا آدمی;مراقبہ|یوگا
🧘‍♀️;پالتی مار کر بیٹھی عورت;مراقبہ|یوگا
🛀;نہاتا ہوا شخص;باتھ ٹب|ٹب|غسل|غسل خانہ
🛌;بستر میں لیٹا شخص;آرام|آرام کرنا|تھکان|رات|سو جانا|سوتا ہوا آدمی|شب بخیر|گڈ نائٹ|نائٹ|نیند|ہوٹل
🧑‍🤝‍🧑;ہاتھ پکڑے ہوئے لوگ;تھامنا|جوڑا|دوست|فرد|ہاتھ|ہاتھ پکڑ کر چلنا|ہاتھ تھامے لوگ|ہاتھ تھامے ہوئے لوگ|ہاتھ میں ہاتھ|ہاتھ میں ہاتھ ڈالے ہوئے|ہمسفر
👭;ہاتھ تھامے دو عورتیں;بیٹیاں|تھامنا|جوڑا|سہیلیاں|عورتیں|گہری دوستی|لوگ|ہاتھ|ہم جنسی رغبت
👫;ہاتھ تھامے مرد اور عورت;تھامنا|جوڑا|دوست|رفیق|لوگ|میاں بیبی|ہاتھ|ہاتھ تھامے ہوئے دو دوست
👬;ہاتھ تھامے دو مرد;انیس|برج|برج جوزا|تھامنا|جڑواں|جوڑا|دوست|رفیق|لوگ|مرد|ہاتھ|ہم جنس|ہم جنس پرست
💏;بوسہ;پیار|جوڑا|دل|رومانس|عشق|لوگ|محبت|محبوب|معشوق|ملاقات|میاں بیبی
👩‍❤️‍💋‍👨;بوسہ: عورت اور مرد;بوسہ|پیار|جوڑا|دل|رومانس|عشق|عورت|لوگ|محبت|محبوب|مرد|معشوق|ملاقات|میاں بیبی
👨‍❤️‍💋‍👨;بوسہ: مرد اور مرد;بوسہ|پیار|جوڑا|دل|رومانس|عشق|لوگ|محبت|محبوب|مرد|معشوق|ملاقات|میاں بیبی
👩‍❤️‍💋‍👩;بوسہ: عورت اور عورت;بوسہ|پیار|جوڑا|دل|رومانس|عشق|عورت|لوگ|محبت|محبوب|معشوق|ملاقات|میاں بیبی
💑;دل اور جوڑا;اقرار|پیار|جوڑا|دل|دل کی دھڑکن|رومانس|سال گرہ|شادی کی سال گرہ|عشق|لوگ|محبت|معشوق|میاں بیبی
👩‍❤️‍👨;دل اور جوڑا: عورت اور مرد;اقرار|پیار|جوڑا|دل|دل اور جوڑا|دل کی دھڑکن|رومانس|سال گرہ|شادی کی سال گرہ|عشق|عورت|لوگ|محبت|مرد|معشوق|میاں بیبی
👨‍❤️‍👨;دل اور جوڑا: مرد اور مرد;اقرار|پیار|جوڑا|دل|دل اور جوڑا|دل کی دھڑکن|رومانس|سال گرہ|شادی کی سال گرہ|عشق|لوگ|محبت|مرد|معشوق|میاں بیبی
👩‍❤️‍👩;دل اور جوڑا: عورت اور عورت;اقرار|پیار|جوڑا|دل|دل اور جوڑا|دل کی دھڑکن|رومانس|سال گرہ|شادی کی سال گرہ|عشق|عورت|لوگ|محبت|معشوق|میاں بیبی
👨‍👩‍👦;خاندان: مرد، عورت، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لوگ|مادر|ماں|مرد
👨‍👩‍👧;خاندان: مرد، عورت، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکی|لوگ|مادر|ماں|مرد
👨‍👩‍👧‍👦;خاندان: مرد، عورت، لڑکی، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لڑکی|لوگ|مادر|ماں|مرد
👨‍👩‍👦‍👦;خاندان: مرد، عورت، لڑکا، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لوگ|مادر|ماں|مرد
👨‍👩‍👧‍👧;خاندان: مرد، عورت، لڑکی، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکی|لوگ|مادر|ماں|مرد
👨‍👨‍👦;خاندان: مرد، مرد، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکا|لوگ|مادر|ماں|مرد
👨‍👨‍👧;خاندان: مرد، مرد، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکی|لوگ|مادر|ماں|مرد
👨‍👨‍👧‍👦;خاندان: مرد، مرد، لڑکی، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکا|لڑکی|لوگ|مادر|ماں|مرد
👨‍👨‍👦‍👦;خاندان: مرد، مرد، لڑکا، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکا|لوگ|مادر|ماں|مرد
👨‍👨‍👧‍👧;خاندان: مرد، مرد، لڑکی، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکی|لوگ|مادر|ماں|مرد
👩‍👩‍👦;خاندان: عورت، عورت، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لوگ|مادر|ماں
👩‍👩‍👧;خاندان: عورت، عورت، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکی|لوگ|مادر|ماں
👩‍👩‍👧‍👦;خاندان: عورت، عورت، لڑکی، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لڑکی|لوگ|مادر|ماں
👩‍👩‍👦‍👦;خاندان: عورت، عورت، لڑکا، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لوگ|مادر|ماں
👩‍👩‍👧‍👧;خاندان: عورت، عورت، لڑکی، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکی|لوگ|مادر|ماں
👨‍👦;خاندان: مرد اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکا|لوگ|مادر|ماں|مرد
👨‍👦‍👦;خاندان: مرد، لڑکا، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکا|لوگ|مادر|ماں|مرد
👨‍👧;خاندان: مرد اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکی|لوگ|مادر|ماں|مرد
👨‍👧‍👦;خاندان: مرد، لڑکی، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکا|لڑکی|لوگ|مادر|ماں|مرد
👨‍👧‍👧;خاندان: مرد، لڑکی، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|کنبہ|لڑکی|لوگ|مادر|ماں|مرد
👩‍👦;خاندان: عورت اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لوگ|مادر|ماں
👩‍👦‍👦;خاندان: عورت، لڑکا، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لوگ|مادر|ماں
👩‍👧;خاندان: عورت اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکی|لوگ|مادر|ماں
👩‍👧‍👦;خاندان: عورت، لڑکی، اور لڑکا;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکا|لڑکی|لوگ|مادر|ماں
👩‍👧‍👧;خاندان: عورت، لڑکی، اور لڑکی;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|خاندان|رشتے|شتے دار|عورت|کنبہ|لڑکی|لوگ|مادر|ماں
🗣️;بولتا سر;بولنا|پرچھائی|چہرہ|سایہ|سر|سر کی پرچھائی|عکس|لوگ
👤;آدمی کا خاکہ;پرچھائی|خاکہ|سایہ|عکس|لوگ
👥;آدمیوں کے خاکے;احباب|اشیاء|پرچھائی|چیز|خاکہ|دو لوگوں کا سایہ|دوست|رفیق|سایہ|عکس|لوگ|ہم جنس پرست
🫂;گلے ملتے لوگ;الوداع|دوستی|شکریہ|گلے ملنا|معانقہ|ہیلو
👪;خاندان;اہلِ خانہ|بابا|باپ|بچہ|بیٹا|پدر|پسر|رشتے|شتے دار|کنبہ|لوگ|مادر|ماں
🧑‍🧑‍🧒;خاندان: بالغ، بالغ، بچہ;
🧑‍🧑‍🧒‍🧒;خاندان: بالغ، بالغ، بچہ، بچہ;
🧑‍🧒;خاندان: بالغ، بچہ;
🧑‍🧒‍🧒;خاندان: بالغ، بچہ، بچہ;
👣;قدموں کے نشانات;اشیاء|پائوں کے نشان|جسم|چلنا|چیز|قدم|منزل کا نشان|نشان|نقشِ پا|ننگے پائوں چلنا
🫆;انگلی کا نشان;سلامتی|شناخت|فورنسک
🐵;بندر کا چہرہ;بندر|جاندار|جانور|قدرت|کیلا|کیورئس جورج
🐒;بندر;بوزنہ|پھل|جاندار|جانور|حیوان|قدرت|کیلا|لنگور
🦍;گوریلا;بندر|جانور|حیوان|قدرت
🦧;انسان نما بندر;ارونگ اوتان|بندر|جانور|چمپینزی|گوریلا
🐶;کتے کا چہرہ;پالتو کتا|جانور|چہرہ|سگ|قدرت|کتا
🐕;کتا;پالتو کتا|جاندار|جانور|جنگلی کتا|سگ|شکاری کتا|قدرت
🦮;رہنما کتا;اندھا|جانور|دسترس|راستہ دکھانے والا|راستہ دکھانے والا کتا|رسائی|رہنما|گائیڈ|گائیڈ کتا|نابینا
🐕‍🦺;خدمتگار کتا;اعانت|جانور|خدمت|دسترس|رسائی|سروس ڈاگ|کتا|گھریلو کتا|مدد|معاونت
🐩;پوڈل;پالا ہوا کتا|پالتو کتا|جانور|سگ|قدرت|کتا
🐺;بھیڑیا;بھیڑیے کا چہرہ|جانور|جنگل|چہرہ|حیوان|قدرت
🦊;لومڑی;جانور|چہرہ|سیار|قدرت|لومڑی کا چہرہ
🦝;راکون;متجسس|متجسس، راکون، جانور، مکار|مکار
🐱;بلی کا چہرہ;بلائو|بلی|بلیاں|پالتو|پالی ہوئی بلی|جانور|حیوان|قدرت|گربہ
🐈;بلی;باگڑ بلا|بلّا|بلائو|پالتو|جاندار|جانور|قدرت|گربہ|گھریلو بلا
🐈‍⬛;کالی بلی;بَد شَگُون|بلی|کالی|میاؤں|ہالووین
🦁;شیر کا چہرہ;آسمان|اسد|الف|ببر شیر|برج|جانور|چہرہ|دہاڑ|دہاڑتا ہوا شیر|سفاری|شیر|ضیغم|طاقت|فلک|قدرت|قوت|مضبوط
🐯;ٹائیگر کا چہرہ;باگھ|ٹائیگر|جانور|درندہ|شیر|قدرت
🐅;ٹائیگر;باگھ|بڑا بلّا|جانور|چڑیا گھر|حیوان|درندہ|شیر|قدرت
🐆;تیندوا;بڑا بلّا|جاندار|جانور|چتّہ|چیتا|حیوان|حیوانات|درند|درندہ|درندے|زو|قدرت
🐴;گھوڑے کا چہرہ;اسپ|جاندار|جانور|چہرا|سواری|فرس|قدرت|کھیت|گھوڑا|گھوڑا نما
🫎;امریکی بارہ سنگا;ایلک|جانور|سینگ|شاخ سینگ|ممالیہ
🫏;گدھا;جانور|خچر|خر|ضدی|ممالیہ
🐎;گھوڑا;اسپ|تاج|جانور|جیت|ڈربی|قدرت|گھڑ سواری
🦄;یونیکارن;اکل سنگا|جانور|چہرہ|قدرت|یک سنگا|یونیکارن کا چہرہ
🦓;زیبرا;پٹّے|دھاری|سیاہ و سفید دھاریوں والا خر|قدرت
🦌;ہرن;آہو|بارہ سنگا|جانور|جنگل|چکارا|چیتل|قدرت
🦬;ارنا بھینسا;بائسن|بھینس|جنگلی بیل|ریوڑ
🐮;گائے کا چہرہ;جانور|چرند|دودھ|شیر|قدرت|کھیت|گائو|گائے|موو
🐂;بیل;ثور|جانور|جنتری|سانڈ|قدرت|کھیت|گائو|ورشبھ
🐃;پانی کی بھینس;بھینس|پانی|جاندار|جانور|چرند|چڑیا گھر|حیوان|قدرت|گاؤمیش
🐄;گائے;جانور|دودھشیر|قدرت|کھلیہان|کھیت|گائو|مخلوق|مووو
🐷;سور کا چہرہ;جانور|سوؤر|سور|قدرت|کھلیہان|کھیت|ولبر
🐖;سور;جاندار|جانور|سوؤر|قدرت|کھیت|کھیتی باڑی|موٹا سور
🐗;جنگلی سور;جاندار|جانور|حیوان|خنزیر|خوک|سوؤر|قدرت|گیم آف تھورنس
🐽;سور کی ناک;بڑی ناک|بینی|تھوتھنی|جاندار|جانور|چہرہ|حیوان|سوؤر|سور|قدرت|کھیت|ناک|نتھونے
🐏;نر بھیڑ;افلاک|بھیڑ|جانور|جنتری|چرند|چڑیا گھر|حمل|سینگ|فلک|قدرت
🐑;مادہ بھیڑ;اون|پالتو مویشی|پشم|جاندار|جانور|چرند|صوف|قدرت|کھیت|گوسفند|مویشی|میش
🐐;بکری;برج|بکرا|جاندار|جانور|جدی|جنتری|قدرت|کھیت|مخلوق
🐪;اونٹ;جاندار|جانور|جمل|رہگستان|شتر|صحرا|قدرت|کوہان|ناقہ
🐫;دو کوہانوں والا اونٹ;اونٹ|جانور|جمل|قدرت|کوہان|ناقہ
🦙;لاما;الپاچا، گوآناکو، لاما، وکونا، اون، جانور|الپاکا|اون|گوآناکو|ویکونیا
🦒;زرافہ;جانور|جیراف|حیوان|دھبے|زرّافہ|شترگائو|قدرت
🐘;ہاتھی;جاندار|جانور|حیوان|سونڈھ|فیل|قدرت|گج|مخلوق|ہستی گج
🦣;میمتھ;بڑا|جانور|حیوان|فروالا|فطرت|معدومیت|ہاتھی|ہاتھی کا دانت
🦏;گینڈا;جاندار|جانور|چڑیا گھر|حیوان|قدرت|مخلوق
🦛;دریائی گھوڑا;دریائی گھوڑا، ہپّوپوٹامس، جانور
🐭;چوہے کا چہرہ;جانور|چہرہ|چوہا|قدرت
🐁;سفید چوہا;جاندار|جانور|چوہا|قدرت
🐀;چوہا;بھورہ چوہا|جاندار|جانور|قدرت|مخلوق|موش
🐹;ہیمسٹر;پالتو|تحتی قبیل جانور|جانور|چہرہ|قدرت|ہیمسٹر کا چہرہ
🐰;خرگوش کا چہرہ;جاندار|جانور|چہرہ|خرگوش|خرگوش صورت|قدرت
🐇;خرگوش;پالا ہوا خرگوش|جاندار|جانور|قدرت|مخلوق
🐿️;گلہری;باغ|باغیچہ|جانور|چمن|قدرت
🦫;سگ آبی;اود بلاؤ|جانور|دانت
🦔;خار پشت;خار دار|خار موش|خاردار|قدرت|ہیج ہاگ
🦇;چمگادڑ;جانور|قدرت|مخلوق
🐻;ریچھ کا چہرہ;بھالو|بھالو کا چہرا|بھالو کا سا چہرہ|جانور|جنگل|چہرہ|ریچھ|شہد|قدرت
🐻‍❄️;قطبی ریچھ;برفانی|ریچھ|سفید
🐨;کوآلا;آسٹریلیا|بھالو|جانور|ریچھ|قدرت
🐼;پانڈا;پانڈا بھالو|پانڈا کا چہرہ|جانور|حیوان|قدرت
🦥;سلاتھ;جانور|سست|کاہل
🦦;اود بلاؤ;چنچل|ماہی گیری
🦨;سکنک;امریکی نیولا|بدبو|بدبودار
🦘;کینگرو;آسٹریلیا، جوئے، جمپ، کنگرو، مارسوپیل، جانور|تھیلی دار جانور|چھلانگ|ننھا کینگرو
