😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🗞️;დახვეული გაზეთი;ახალი ამბები|გაზეთი|დახვეული|ქაღალდი
📑;სანიშნი ჩანართები;სანიშნე|ჩანართები
🔖;სანიშნე;
🏷️;იარლიყი;ლეიბლი
🪙;მონეტა;ვერცხლი|მეტალი|ოქრო|ფული|ხაზინა
💰;ფულის ტომარა;დოლარი|ტომარა|ფული
🪎;საგანძურის სკივრი;მეკობრეობა|ნადავლი|ნაძარცვი|ორქოულობა|ოქრო|სიმდიდრე|ფული|ძვირფასეულობა|ჯილდო
💴;იენას ბანკნოტი;ბანკი|ბანკნოტი|ვალუტა|იენი|იენის ბანკნოტი|ფული
💵;დოლარის ბანკნოტი;ბანკნოტი|დოლარი|ვალუტა|ფული
💶;ევროს ბანკნოტი;ბანკნოტი|ევრო|ვალუტა|ფული
💷;გირვანქა სტერლინგის ბანკნოტი;ბანკნოტი|გირვანქა|ვალუტა|სტერლინგი|ფული|ფუნტი
💸;ფული ფრთებით;ბანკნოტი|დოლარი|ფრენა|ფრთები|ფული
💳;საკრედიტო ბარათი;საკრედიტო|ფული
🧾;ქვითარი;ბუღალტერია|მტკიცებულება|საბუთი
💹;ზრდადი გრაფიკი იენათი;ბაზარი|ბანკი|გრაფიკი|დიაგრამა|ვალუტა|ზრდა|იენა|მაღლა|ტენდენცია|ფული
✉️;კონვერტი;ელ. ფოსტა|ელფოსტა
📧;ელფოსტა;ფოსტა|წერილი
📨;შემოსული კონვერტი;ელ. ფოსტა|ელფოსტა|კონვერტი|მიღება|ფოსტა|შემოსული|წერილი
📩;კონვერტი ისრით;გაგზავნილი|გასული|ელ. ფოსტა|ელფოსტა|ისარი|კონვერტი|ფოსტა|ქვემოთ|წერილი
📤;გაგზავნილების კოლოფი;გაგზავნილები|გაგზავნილი|კოლოფი|ფოსტა|ყუთი|წერილი
📥;შემოსულების კოლოფი;კოლოფი|მიღება|ფოსტა|ყუთი|შემოსულები|წერილი
📦;პაკეტი;ამანათი|ყუთი
📫;დახურული საფოსტო ყუთი აწეული დროშით;დახურული|საფოსტო ყუთი|ფოსტა
📪;დახურული საფოსტო ყუთი დაწეული დროშით;დაწეული|დახურული|საფოსტო ყუთი|ფოსტა
📬;ღია საფოსტო ყუთი აწეული დროშით;საფოსტო ყუთი|ფოსტა|ღია
